"Indicator","PUBLISH STATES","Year","WHO region","Country","Age Group","Sex","Display Value","Numeric","Low","High","Comments"
"Insufficiently active (crude estimate)","Published","2010","Americas","Dominican Republic","18+  years","Both sexes","35 [11.1-72.6]","34.95701","11.13687","72.60995",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Dominican Republic","18+  years","Both sexes","35.9 [11.6-73.3]","35.90102","11.58152","73.33569",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Dominican Republic","18+  years","Female","39.4 [13.1-76.1]","39.39521","13.08860","76.13570",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Dominican Republic","18+  years","Female","40.3 [13.5-76.7]","40.31008","13.54666","76.70790",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Algeria","18+  years","Male","25.8 [20.4-31.7]","25.76177","20.37599","31.70686",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Algeria","18+  years","Male","27.7 [22.3-33.6]","27.69900","22.31322","33.64409",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Algeria","18+  years","Both sexes","32.5 [28.6-36.6]","32.53196","28.58088","36.64688",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Algeria","18+  years","Both sexes","34.4 [30.5-38.5]","34.42745","30.47637","38.54237",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Algeria","18+  years","Female","39.4 [33.9-45.1]","39.39288","33.88944","45.10271",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Algeria","18+  years","Female","41.2 [35.7-46.9]","41.15590","35.65246","46.86573",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Ecuador","18+  years","Male","18.9 [5.3-54.3]","18.89334","5.30699","54.30999",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Ecuador","18+  years","Male","19.6 [5.5-55.1]","19.60444","5.52975","55.11319",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Ecuador","18+  years","Both sexes","24.5 [6.5-59.4]","24.45121","6.50944","59.44431",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Ecuador","18+  years","Both sexes","25.2 [6.8-60.4]","25.19565","6.78906","60.36934",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Ecuador","18+  years","Female","29.9 [8.4-65.7]","29.89759","8.41402","65.74107",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Ecuador","18+  years","Female","30.8 [8.7-66.6]","30.78686","8.74245","66.58711",""
"Insufficiently active (crude estimate)","Published","2010","Eastern Mediterranean","Egypt","18+  years","Male","23.4 [16.7-31.3]","23.37608","16.73276","31.31417",""
"Insufficiently active (age-standardized estimate)","Published","2010","Eastern Mediterranean","Egypt","18+  years","Male","25.1 [18.5-33.1]","25.14178","18.49846","33.07986",""
"Insufficiently active (crude estimate)","Published","2010","Eastern Mediterranean","Egypt","18+  years","Both sexes","31 [26.7-35.7]","31.02602","26.69264","35.67210",""
"Insufficiently active (age-standardized estimate)","Published","2010","Eastern Mediterranean","Egypt","18+  years","Both sexes","32.3 [28-36.9]","32.29567","27.96229","36.94175",""
"Insufficiently active (crude estimate)","Published","2010","Eastern Mediterranean","Egypt","18+  years","Female","38.6 [32.9-44.5]","38.58192","32.92146","44.54947",""
"Insufficiently active (age-standardized estimate)","Published","2010","Eastern Mediterranean","Egypt","18+  years","Female","39.4 [33.8-45.4]","39.44956","33.78910","45.41711",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Eritrea","18+  years","Both sexes","10.7 [9.2-12.2]","10.65636","9.18667","12.24765",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Eritrea","18+  years","Female","13.5 [10.5-16.9]","13.45924","10.46531","16.92229",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Eritrea","18+  years","Female","15.6 [12.6-19.1]","15.58821","12.59429","19.05127",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Eritrea","18+  years","Male","4.2 [3-5.6]","4.21819","2.99851","5.62973",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Eritrea","18+  years","Male","5.7 [4.5-7.1]","5.72450","4.50482","7.13605",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Eritrea","18+  years","Both sexes","9 [7.5-10.6]","8.95911","7.48942","10.55041",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Spain","18+  years","Male","27.2 [8.9-67.3]","27.24253","8.91055","67.31851",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Spain","18+  years","Male","29.2 [9.8-69.1]","29.20661","9.80076","69.14806",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Spain","18+  years","Both sexes","30.5 [9.1-68]","30.45695","9.05266","67.99697",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Spain","18+  years","Both sexes","33.4 [10.3-70.3]","33.40064","10.28003","70.30031",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Spain","18+  years","Female","33.7 [10-70.4]","33.67137","9.97937","70.37802",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Spain","18+  years","Female","37.4 [11.6-73]","37.41930","11.58962","72.99534",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Estonia","18+  years","Male","11.2 [2.8-34.5]","11.21792","2.80918","34.53308",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Estonia","18+  years","Both sexes","11.9 [2.7-35.1]","11.90966","2.74541","35.11056",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Estonia","18+  years","Male","12 [3-35.4]","11.97197","3.01900","35.36148",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Estonia","18+  years","Female","12.6 [2.7-33.3]","12.60139","2.74605","33.31386",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Estonia","18+  years","Both sexes","15.2 [3.5-39.2]","15.19524","3.50473","39.21436",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Estonia","18+  years","Female","17.9 [4.1-41.2]","17.85239","4.10498","41.15965",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Ethiopia","18+  years","Male","12.6 [3.1-40.7]","12.57653","3.10464","40.68999",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Ethiopia","18+  years","Male","14 [3.6-42.9]","13.96216","3.57272","42.93553",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Ethiopia","18+  years","Both sexes","17.1 [4.2-47]","17.08851","4.17360","47.02639",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Ethiopia","18+  years","Both sexes","18.9 [4.9-50.1]","18.93223","4.94722","50.09816",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Ethiopia","18+  years","Female","21.5 [5.3-53.3]","21.49597","5.33319","53.26877",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Ethiopia","18+  years","Female","23.9 [6.2-56.2]","23.90230","6.22254","56.22630",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Finland","18+  years","Male","21.7 [6.3-57.8]","21.72034","6.33943","57.83900",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Finland","18+  years","Both sexes","23.5 [6.1-57.6]","23.51969","6.07414","57.55338",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Finland","18+  years","Male","24.2 [7.2-61.1]","24.18649","7.18335","61.13403",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Finland","18+  years","Female","25.3 [6.5-59.7]","25.31905","6.47768","59.70150",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Finland","18+  years","Both sexes","26.2 [6.9-60.9]","26.21032","6.89258","60.89679",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Finland","18+  years","Female","28.1 [7.3-62.9]","28.12103","7.32702","62.93023",""
"Insufficiently active (age-standardized estimate)","Published","2010","Western Pacific","Fiji","18+  years","Male","10.7 [8.3-13.6]","10.72097","8.34176","13.60851",""
"Insufficiently active (crude estimate)","Published","2010","Western Pacific","Fiji","18+  years","Both sexes","15.7 [13.4-18.1]","15.67428","13.43731","18.13272",""
"Insufficiently active (age-standardized estimate)","Published","2010","Western Pacific","Fiji","18+  years","Both sexes","17 [14.7-19.4]","16.98054","14.74358","19.43898",""
"Insufficiently active (crude estimate)","Published","2010","Western Pacific","Fiji","18+  years","Female","22 [18.3-26.1]","22.04943","18.34607","26.13814",""
"Insufficiently active (age-standardized estimate)","Published","2010","Western Pacific","Fiji","18+  years","Female","23.2 [19.5-27.3]","23.24012","19.53675","27.32882",""
"Insufficiently active (crude estimate)","Published","2010","Western Pacific","Fiji","18+  years","Male","9.5 [7.1-12.4]","9.48386","7.10465","12.37140",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","France","18+  years","Male","19.1 [14.1-24.8]","19.05552","14.14547","24.81461",""
"Insufficiently active (crude estimate)","Published","2010","Europe","France","18+  years","Male","21.2 [16.2-26.9]","21.15706","16.24702","26.91615",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","France","18+  years","Both sexes","23.8 [19.9-28]","23.75933","19.93278","27.95015",""
"Insufficiently active (crude estimate)","Published","2010","Europe","France","18+  years","Both sexes","26.4 [22.6-30.6]","26.41575","22.58920","30.60657",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","France","18+  years","Female","28.5 [22.8-34.8]","28.46313","22.81309","34.76283",""
"Insufficiently active (crude estimate)","Published","2010","Europe","France","18+  years","Female","31.2 [25.5-37.5]","31.18560","25.53556","37.48529",""
"Insufficiently active (age-standardized estimate)","Published","2010","Western Pacific","Micronesia (Federated States of)","18+  years","Male","31.1 [26.6-35.9]","31.07196","26.57830","35.85952",""
"Insufficiently active (crude estimate)","Published","2010","Western Pacific","Micronesia (Federated States of)","18+  years","Male","32 [27.5-36.8]","31.96734","27.47368","36.75489",""
"Insufficiently active (age-standardized estimate)","Published","2010","Western Pacific","Micronesia (Federated States of)","18+  years","Both sexes","36 [33-39.1]","35.99908","32.96519","39.12506",""
"Insufficiently active (crude estimate)","Published","2010","Western Pacific","Micronesia (Federated States of)","18+  years","Both sexes","36.6 [33.6-39.7]","36.62229","33.58840","39.74827",""
"Insufficiently active (age-standardized estimate)","Published","2010","Western Pacific","Micronesia (Federated States of)","18+  years","Female","40.9 [36.8-45.1]","40.92620","36.83239","45.12954",""
"Insufficiently active (crude estimate)","Published","2010","Western Pacific","Micronesia (Federated States of)","18+  years","Female","41.4 [37.3-45.6]","41.39444","37.30063","45.59778",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Gabon","18+  years","Male","15.5 [2.5-27.6]","15.52645","2.45923","27.64602",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Gabon","18+  years","Male","17.7 [2.9-31.3]","17.67879","2.94138","31.26204",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Gabon","18+  years","Both sexes","24.5 [4.2-41.4]","24.54178","4.15690","41.42757",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Gabon","18+  years","Both sexes","26 [4.5-43.4]","26.03308","4.53124","43.42839",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Gabon","18+  years","Female","33.5 [6-50.9]","33.53214","5.96305","50.86251",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Gabon","18+  years","Female","34.4 [6.3-52.4]","34.38736","6.30738","52.35949",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","United Kingdom of Great Britain and Northern Ireland","18+  years","Male","32.3 [30.4-34.2]","32.26004","30.36584","34.21389",""
"Insufficiently active (crude estimate)","Published","2010","Europe","United Kingdom of Great Britain and Northern Ireland","18+  years","Male","35.4 [33.5-37.3]","35.38104","33.48684","37.33489",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","United Kingdom of Great Britain and Northern Ireland","18+  years","Both sexes","37.3 [35.9-38.8]","37.34848","35.92125","38.80011",""
"Insufficiently active (crude estimate)","Published","2010","Europe","United Kingdom of Great Britain and Northern Ireland","18+  years","Both sexes","40 [38.6-41.4]","39.98267","38.55545","41.43430",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","United Kingdom of Great Britain and Northern Ireland","18+  years","Female","42.4 [40.3-44.6]","42.43691","40.31466","44.59739",""
"Insufficiently active (crude estimate)","Published","2010","Europe","United Kingdom of Great Britain and Northern Ireland","18+  years","Female","44.3 [42.2-46.5]","44.33848","42.21623","46.49896",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Georgia","18+  years","Male","20.2 [16.6-24.3]","20.22142","16.61679","24.31569",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Georgia","18+  years","Both sexes","20.6 [18.9-22.4]","20.61834","18.92413","22.41100",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Georgia","18+  years","Female","21 [19.1-23.1]","21.01525","19.09600","23.05732",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Georgia","18+  years","Male","21.1 [17.4-25.1]","21.05138","17.44675","25.14564",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Georgia","18+  years","Both sexes","22.5 [20.8-24.3]","22.48993","20.79572","24.28259",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Georgia","18+  years","Female","23.7 [21.8-25.7]","23.70026","21.78101","25.74232",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Ghana","18+  years","Male","11.9 [8.8-15.5]","11.90807","8.82696","15.51431",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Ghana","18+  years","Male","13.1 [10.1-16.7]","13.14196","10.06085","16.74821",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Ghana","18+  years","Both sexes","14.6 [12.2-17.2]","14.56211","12.19151","17.17579",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Ghana","18+  years","Both sexes","15.6 [13.2-18.2]","15.57766","13.20706","18.19135",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Ghana","18+  years","Female","17 [13.5-21]","17.02847","13.51486","21.00027",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Ghana","18+  years","Female","18 [14.5-22]","18.01336","14.49975","21.98516",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Guinea","18+  years","Female","11 [1.8-23.2]","11.00303","1.84973","23.23583",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Guinea","18+  years","Female","12.7 [2.3-26.3]","12.72130","2.31611","26.25202",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Guinea","18+  years","Male","5.4 [1-13.5]","5.43469","0.95495","13.54844",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Guinea","18+  years","Male","7.1 [1.4-17.2]","7.05803","1.37074","17.18687",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Guinea","18+  years","Both sexes","8.2 [1.3-17.6]","8.23602","1.28800","17.56570",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Guinea","18+  years","Both sexes","9.9 [1.7-20.9]","9.88967","1.71136","20.86748",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Gambia","18+  years","Male","14.2 [8.4-21.9]","14.22462","8.44000","21.87963",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Gambia","18+  years","Male","16.9 [11.1-24.5]","16.88824","11.10363","24.54326",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Gambia","18+  years","Both sexes","18.7 [13.9-24.3]","18.67795","13.88696","24.30882",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Gambia","18+  years","Both sexes","21.5 [16.7-27.1]","21.47831","16.68732","27.10919",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Gambia","18+  years","Female","22.9 [15.6-31.7]","22.87632","15.62635","31.69632",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Gambia","18+  years","Female","26.1 [18.8-34.9]","26.06837","18.81840","34.88837",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Guinea-Bissau","18+  years","Male","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Guinea-Bissau","18+  years","Female","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Guinea-Bissau","18+  years","Both sexes","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Guinea-Bissau","18+  years","Male","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Guinea-Bissau","18+  years","Female","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Guinea-Bissau","18+  years","Both sexes","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Equatorial Guinea","18+  years","Male","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Equatorial Guinea","18+  years","Female","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Equatorial Guinea","18+  years","Both sexes","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Equatorial Guinea","18+  years","Male","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Equatorial Guinea","18+  years","Female","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Equatorial Guinea","18+  years","Both sexes","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Greece","18+  years","Male","10.1 [2.6-28.9]","10.10538","2.56101","28.85159",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Greece","18+  years","Male","12.4 [3.2-34.6]","12.37299","3.17957","34.55775",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Greece","18+  years","Both sexes","12.9 [2.9-36.5]","12.91436","2.92992","36.52814",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Greece","18+  years","Both sexes","15.4 [3.5-41.3]","15.36198","3.51535","41.32632",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Greece","18+  years","Female","15.7 [3.4-42.1]","15.72334","3.44778","42.07467",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Greece","18+  years","Female","18.2 [4.1-46.6]","18.21699","4.07159","46.55682",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Grenada","18+  years","Male","22.9 [16.4-30.6]","22.90533","16.36559","30.62452",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Grenada","18+  years","Male","23.9 [17.3-31.6]","23.88164","17.34190","31.60083",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Grenada","18+  years","Both sexes","30.2 [26.1-34.6]","30.23988","26.14278","34.61078",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Grenada","18+  years","Both sexes","30.5 [26.4-34.9]","30.53617","26.43907","34.90707",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Grenada","18+  years","Female","37.2 [31.9-42.7]","37.19070","31.92960","42.72413",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Grenada","18+  years","Female","37.4 [32.2-42.9]","37.41369","32.15259","42.94712",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Guatemala","18+  years","Male","10.5 [2.5-35.5]","10.54030","2.54553","35.48631",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Guatemala","18+  years","Male","11.5 [2.8-37.3]","11.51410","2.79658","37.27106",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Guatemala","18+  years","Both sexes","12.4 [2.6-37.2]","12.40904","2.63620","37.16743",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Guatemala","18+  years","Both sexes","13.3 [2.8-38.8]","13.26011","2.83957","38.75851",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Guatemala","18+  years","Female","14.1 [3-40]","14.06443","3.00286","40.02345",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Guatemala","18+  years","Female","15 [3.2-41.5]","15.00612","3.21420","41.48350",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Guyana","18+  years","Male","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Guyana","18+  years","Female","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Guyana","18+  years","Both sexes","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Guyana","18+  years","Male","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Guyana","18+  years","Female","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Guyana","18+  years","Both sexes","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Honduras","18+  years","Male","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Honduras","18+  years","Female","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Honduras","18+  years","Both sexes","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Honduras","18+  years","Male","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Honduras","18+  years","Female","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Honduras","18+  years","Both sexes","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Croatia","18+  years","Male","15 [3.9-45.1]","15.02630","3.90030","45.12956",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Croatia","18+  years","Both sexes","16.2 [3.8-43]","16.21483","3.79833","43.00148",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Croatia","18+  years","Male","16.8 [4.5-48]","16.84868","4.46442","48.00388",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Croatia","18+  years","Female","17.4 [4.1-44.2]","17.40335","4.10152","44.23813",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Croatia","18+  years","Both sexes","19.8 [4.9-48.3]","19.79973","4.85103","48.33712",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Croatia","18+  years","Female","22.5 [5.6-51.3]","22.47382","5.57433","51.29446",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Haiti","18+  years","Male","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Haiti","18+  years","Female","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Haiti","18+  years","Both sexes","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Haiti","18+  years","Male","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Haiti","18+  years","Female","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Haiti","18+  years","Both sexes","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Hungary","18+  years","Male","17.2 [4.8-50.1]","17.21690","4.78054","50.13867",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Hungary","18+  years","Both sexes","18.1 [4.4-48.5]","18.08877","4.41030","48.48890",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Hungary","18+  years","Male","18.5 [5.2-52.1]","18.53463","5.22509","52.08141",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Hungary","18+  years","Female","19 [4.5-48.8]","18.96064","4.48507","48.84507",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Hungary","18+  years","Both sexes","20.9 [5.2-51.7]","20.91508","5.21821","51.72308",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Hungary","18+  years","Female","23 [5.7-53.3]","22.99743","5.68573","53.28442",""
"Insufficiently active (crude estimate)","Published","2010","South-East Asia","Indonesia","18+  years","Female","21.1 [14.8-28.9]","21.13608","14.81665","28.85601",""
"Insufficiently active (age-standardized estimate)","Published","2010","South-East Asia","Indonesia","18+  years","Female","22 [15.7-29.7]","21.97599","15.65656","29.69592",""
"Insufficiently active (crude estimate)","Published","2010","South-East Asia","Indonesia","18+  years","Both sexes","22.8 [18-28.1]","22.76100","17.99227","28.14018",""
"Insufficiently active (age-standardized estimate)","Published","2010","South-East Asia","Indonesia","18+  years","Both sexes","23.7 [19-29.1]","23.74450","18.97577","29.12368",""
"Insufficiently active (crude estimate)","Published","2010","South-East Asia","Indonesia","18+  years","Male","24.4 [17.5-32.4]","24.40393","17.52032","32.37586",""
"Insufficiently active (age-standardized estimate)","Published","2010","South-East Asia","Indonesia","18+  years","Male","25.5 [18.6-33.5]","25.51302","18.62941","33.48495",""
"Insufficiently active (age-standardized estimate)","Published","2010","South-East Asia","India","18+  years","Male","10.8 [9-12.9]","10.79848","8.98590","12.86964",""
"Insufficiently active (crude estimate)","Published","2010","South-East Asia","India","18+  years","Both sexes","12.1 [10.8-13.4]","12.06592","10.81777","13.40207",""
"Insufficiently active (age-standardized estimate)","Published","2010","South-East Asia","India","18+  years","Both sexes","13.4 [12.2-14.8]","13.42718","12.17903","14.76333",""
"Insufficiently active (crude estimate)","Published","2010","South-East Asia","India","18+  years","Female","15.1 [13.4-17]","15.13286","13.42682","16.96909",""
"Insufficiently active (age-standardized estimate)","Published","2010","South-East Asia","India","18+  years","Female","16.1 [14.3-17.9]","16.05587","14.34983","17.89210",""
"Insufficiently active (crude estimate)","Published","2010","South-East Asia","India","18+  years","Male","9.2 [7.3-11.2]","9.15069","7.33811","11.22184",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Ireland","18+  years","Male","30 [9.8-70.1]","30.02365","9.81006","70.13842",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Ireland","18+  years","Male","30.6 [10-70.7]","30.61482","10.04108","70.65155",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Ireland","18+  years","Both sexes","35.1 [10.9-72.3]","35.08036","10.91380","72.34194",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Ireland","18+  years","Both sexes","36 [11.3-73]","36.01126","11.25179","72.98663",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Ireland","18+  years","Female","40.1 [13.2-76]","40.13708","13.15341","76.03286",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Ireland","18+  years","Female","41.2 [13.7-76.8]","41.20729","13.65124","76.76103",""
"Insufficiently active (crude estimate)","Published","2010","Eastern Mediterranean","Iran (Islamic Republic of)","18+  years","Male","22.3 [20.7-24]","22.34919","20.71776","24.04688",""
"Insufficiently active (age-standardized estimate)","Published","2010","Eastern Mediterranean","Iran (Islamic Republic of)","18+  years","Male","24.1 [22.5-25.8]","24.09638","22.46495","25.79407",""
"Insufficiently active (crude estimate)","Published","2010","Eastern Mediterranean","Iran (Islamic Republic of)","18+  years","Both sexes","31.9 [30.5-33.3]","31.90728","30.52553","33.31312",""
"Insufficiently active (age-standardized estimate)","Published","2010","Eastern Mediterranean","Iran (Islamic Republic of)","18+  years","Both sexes","33.5 [32.1-34.9]","33.47495","32.09319","34.88078",""
"Insufficiently active (crude estimate)","Published","2010","Eastern Mediterranean","Iran (Islamic Republic of)","18+  years","Female","41.6 [39.4-43.9]","41.60624","39.38432","43.85370",""
"Insufficiently active (age-standardized estimate)","Published","2010","Eastern Mediterranean","Iran (Islamic Republic of)","18+  years","Female","42.9 [40.6-45.1]","42.85352","40.63160","45.10098",""
"Insufficiently active (crude estimate)","Published","2010","Eastern Mediterranean","Iraq","18+  years","Female","43.1 [37.6-48.6]","43.05403","37.60291","48.61975",""
"Insufficiently active (age-standardized estimate)","Published","2010","Eastern Mediterranean","Iraq","18+  years","Female","45.8 [40.4-51.4]","45.80813","40.35700","51.37384",""
"Insufficiently active (crude estimate)","Published","2010","Eastern Mediterranean","Iraq","18+  years","Both sexes","46.3 [42.4-50.3]","46.33768","42.44270","50.26373",""
"Insufficiently active (age-standardized estimate)","Published","2010","Eastern Mediterranean","Iraq","18+  years","Both sexes","49.3 [45.4-53.2]","49.32246","45.42748","53.24851",""
"Insufficiently active (crude estimate)","Published","2010","Eastern Mediterranean","Iraq","18+  years","Male","49.6 [44-55.3]","49.64001","44.03383","55.25786",""
"Insufficiently active (age-standardized estimate)","Published","2010","Eastern Mediterranean","Iraq","18+  years","Male","52.8 [47.2-58.5]","52.83679","47.23062","58.45464",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Iceland","18+  years","Male","No data","","","",""
